Measurement from:2019-10-16 12:40:02

Timestamp;CANID;Data [A]
430436.698198;899;6.54296875[ A]
430436.795306;897;7.28515625[ A]
430436.795647;898;8.0712890625[ A]
430436.797269;900;6.6552734375[ A]
430436.79953;899;6.162109375[ A]
430436.896254;897;4.638671875[ A]
430436.896595;898;5.810546875[ A]
430436.898259;900;4.580078125[ A]
430436.900137;899;3.515625[ A]
430436.997202;898;1.30859375[ A]
430436.997543;897;0.830078125[ A]
430436.999292;900;1.044921875[ A]
430437.001127;899;1.0986328125[ A]
430437.098149;897;0.5224609375[ A]
430437.098448;898;1.064453125[ A]
430437.099941;900;1.0205078125[ A]
430437.10216;899;1.9921875[ A]
430437.199097;897;2.607421875[ A]
430437.199438;898;1.376953125[ A]
430437.201102;900;4.755859375[ A]
430437.203278;899;5.166015625[ A]
430437.29996;897;4.560546875[ A]
430437.300514;898;2.9345703125[ A]
430437.30205;900;7.3779296875[ A]
430437.303842;899;8.1396484375[ A]
430437.400865;897;0.927734375[ A]
430437.401206;898;0.2001953125[ A]
430437.402998;900;4.7802734375[ A]
430437.404755;899;4.9755859375[ A]
430437.501991;897;2.3388671875[ A]
430437.502161;898;1.1865234375[ A]
430437.504081;900;6.25[ A]
430437.507025;899;6.4013671875[ A]
430437.602853;897;5.1123046875[ A]
430437.603152;898;4.111328125[ A]
430437.605114;900;8.9892578125[ A]
430437.607888;899;9.091796875[ A]
430437.703716;897;6.15234375[ A]
430437.7041;898;5.5712890625[ A]
430437.706404;900;9.04296875[ A]
430437.708793;899;9.296875[ A]
430437.804535;898;1.1279296875[ A]
430437.804962;897;1.8505859375[ A]
430437.807565;900;2.2119140625[ A]
430437.809826;899;2.2265625[ A]
430437.905782;897;2.3876953125[ A]
430437.905952;898;1.416015625[ A]
430437.908598;900;1.3330078125[ A]
430437.91056;899;2.55859375[ A]
430438.006559;898;4.4873046875[ A]
430438.0069;897;4.6875[ A]
430438.009418;900;3.017578125[ A]
430438.011977;899;3.447265625[ A]
430438.107421;897;7.333984375[ A]
430438.107592;898;7.568359375[ A]
430438.110323;900;7.412109375[ A]
430438.112413;899;7.8369140625[ A]
430438.20854;897;9.462890625[ A]
430438.208796;898;10.95703125[ A]
430438.211484;900;5.2880859375[ A]
430438.213574;899;7.0556640625[ A]
430438.309487;897;4.443359375[ A]
430438.309658;898;4.873046875[ A]
430438.312559;900;0.166015625[ A]
430438.314223;899;2.05078125[ A]
430438.410393;897;1.0302734375[ A]
430438.410649;898;0.17578125[ A]
430438.41355;900;4.404296875[ A]
430438.415129;899;3.4228515625[ A]
430438.511393;897;3.7744140625[ A]
430438.511692;898;4.775390625[ A]
430438.515446;900;0.9375[ A]
430438.5163;899;1.1865234375[ A]
430438.612341;898;14.3505859375[ A]
430438.612682;897;13.515625[ A]
430438.617077;900;8.41796875[ A]
430438.617589;899;10.7568359375[ A]
430438.713289;897;10.6298828125[ A]
430438.713459;898;10.78125[ A]
430438.718152;900;5.3076171875[ A]
430438.718536;899;7.4169921875[ A]
430438.814066;897;6.77734375[ A]
430438.814108;898;6.943359375[ A]
430438.81893;899;3.5498046875[ A]
430438.819228;900;2.4169921875[ A]
430438.914971;897;2.177734375[ A]
430438.915312;898;0.8447265625[ A]
430438.920133;900;4.9072265625[ A]
430438.920475;899;5.166015625[ A]
430439.016089;897;6.9677734375[ A]
430439.01643;898;3.8916015625[ A]
430439.021209;900;12.1875[ A]
430439.021422;899;11.2451171875[ A]
430439.116781;898;0.29296875[ A]
430439.117122;897;0.6884765625[ A]
430439.121687;900;5.7177734375[ A]
430439.121943;899;5.0634765625[ A]
430439.217899;897;0.1708984375[ A]
430439.218198;898;2.0654296875[ A]
430439.223062;899;3.3203125[ A]
430439.223403;900;3.955078125[ A]
430439.318932;897;2.5341796875[ A]
430439.319103;898;3.994140625[ A]
430439.323796;899;1.0498046875[ A]
430439.324436;900;1.767578125[ A]
430439.419923;897;2.412109375[ A]
430439.420136;898;4.00390625[ A]
430439.424616;900;1.875[ A]
430439.424915;899;1.298828125[ A]
430439.520626;898;3.4375[ A]
430439.52101;897;1.884765625[ A]
430439.525661;899;1.767578125[ A]
430439.526087;900;2.3779296875[ A]
430439.621702;898;3.5400390625[ A]
430439.622086;897;1.982421875[ A]
430439.626651;899;1.69921875[ A]
430439.627249;900;2.32421875[ A]
