OmegaLw,OmegaRw,X_GPS,Y_GPS,Theta_GPS,Theta_Mag,V_GPS,Omega_Gyro
6.9730357143,7.0292857143,559909.13186,6319413.3937,5.79275,5.79275,2.234039,0.009425
6.9730357143,7.0292857143,559909.13186,6319413.3937,5.79275,5.79275,2.234039,-0.002269
6.9730357143,7.0292857143,559909.2533,6319413.3954,5.79275,5.79275,2.015934,0.009425
6.9730357143,7.0292857143,559909.2533,6319413.3954,5.79275,5.79275,2.015934,-0.008727
6.9730357143,7.0292857143,559909.2533,6319413.3954,5.795977,5.795977,2.015934,0.005236
7.6207142857,7.7383928571,559909.25491,6319413.2841,5.795977,5.795977,1.513365,-0.006458
7.6207142857,7.7383928571,559909.25491,6319413.2841,5.795977,5.795977,1.513365,-0.000175
7.6207142857,7.7383928571,559909.25491,6319413.2841,5.797433,5.797433,1.513365,0.00192
7.6207142857,7.7383928571,559909.25491,6319413.2841,5.797433,5.797433,1.513365,0.006283
7.6207142857,7.7383928571,559909.31724,6319413.1737,5.797433,5.797433,1.533426,0.008378
7.6207142857,7.7383928571,559909.31724,6319413.1737,5.797433,5.797433,1.533426,0.012741
7.6207142857,7.7383928571,559909.31724,6319413.1737,5.797433,5.797433,1.533426,0.011519
7.5621428571,7.5192857143,559909.43707,6319413.2868,5.797826,5.797826,1.797314,0.014835
7.5621428571,7.5192857143,559909.43707,6319413.2868,5.797826,5.797826,1.797314,0.00733
7.5621428571,7.5192857143,559909.43707,6319413.2868,5.797826,5.797826,1.797314,0.00733
7.5621428571,7.5192857143,559909.4994,6319413.1763,5.797208,5.797208,1.769022,-0.001222
7.5621428571,7.5192857143,559909.4994,6319413.1763,5.797208,5.797208,1.769022,0.000873
7.5621428571,7.5192857143,559909.4994,6319413.1763,5.797208,5.797208,1.769022,-0.007505
7.5621428571,7.5192857143,559909.4994,6319413.1763,5.797052,5.797052,1.769022,-0.002269
6.9178571429,6.9489285714,559909.67996,6319413.2903,5.797052,5.797052,2.049884,0.003142
6.9178571429,6.9489285714,559909.67996,6319413.2903,5.797052,5.797052,2.049884,0.00733
6.9178571429,6.9489285714,559909.80301,6319413.1807,5.797052,5.797052,2.073546,0.000873
6.9178571429,6.9489285714,559909.80301,6319413.1807,5.800739,5.800739,2.073546,-0.005411
6.9178571429,6.9489285714,559909.80301,6319413.1807,5.800739,5.800739,2.073546,-0.009774
6.9178571429,6.9489285714,559909.80301,6319413.1807,5.800739,5.800739,2.073546,-0.001222
7.1230357143,7.2308928571,559909.86212,6319413.2929,5.800739,5.800739,2.033423,-0.004363
7.1230357143,7.2308928571,559909.86212,6319413.2929,5.800739,5.800739,2.033423,-0.000175
7.1230357143,7.2308928571,559909.92445,6319413.1825,5.804858,5.804858,2.00616,0.000873
7.1230357143,7.2308928571,559909.92445,6319413.1825,5.804858,5.804858,2.00616,0.006283
7.1230357143,7.2308928571,559909.92445,6319413.1825,5.806449,5.806449,2.00616,0.003142
